fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_points,efficiency
45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,1,145.6,0.3835616438356165
52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,0,217.5,0.4142857142857143
42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,1,85.80000000000001,0.32352941176470595
51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,1,127.5,0.37878787878787884
37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,0,67.60000000000001,0.20967741935483872
51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,1,58.5,0.25862068965517243
53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1,1992.6000000000001,0.6639344262295082
35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0,105.39999999999999,0.3177570093457944
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0,1161.3,0.43620178041543023
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1,1161.3,0.43620178041543023
44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,1,910.1999999999999,0.3303571428571428
46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1,934.8000000000001,0.36190476190476195
49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1,1158.3,0.46885245901639344
44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1,1016.0,0.4205298013245033
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1,1047.2,0.45333333333333337
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0,1047.2,0.45333333333333337
37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1,505.0,0.39920948616600793
48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1,810.0,0.398406374501992
50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,1,729.8000000000001,0.3869565217391305
44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0,185.0,0.3490566037735849
49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1,931.5,0.5227272727272727
50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,1,729.8000000000001,0.4101382488479263
40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,1,785.6999999999999,0.48258706467661683
41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0,434.7,0.3214285714285714
39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,1,746.1999999999999,0.4764397905759162
47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,0,335.5,0.3388888888888889
47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,1,547.5,0.40782122905027934
49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,0,626.4,0.5117647058823529
48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,1,632.0,0.47619047619047616
39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0,82.5,0.3173076923076923
48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,1,453.59999999999997,0.35220125786163514
46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,1,296.1,0.33571428571428574
47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1,526.5,0.4710144927536232
43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,1,323.3,0.40151515151515155
40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,0,197.79999999999998,0.3538461538461538
36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1,236.5,0.3333333333333333
54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,0,241.89999999999998,0.33064516129032256
45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,1,389.40000000000003,0.5221238938053098
40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0,1169.0,0.48405797101449277
42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,0,269.5,0.3181818181818182
29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0,144.29999999999998,0.35779816513761464
38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,1,207.70000000000002,0.306930693069307
43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,0,79.8,0.19387755102040816
47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,0,260.0,0.5306122448979591
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,0,325.0,0.5263157894736842
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,1,325.0,0.5263157894736842
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,0,565.8000000000001,0.3254716981132076
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,1,565.8000000000001,0.3254716981132076
31.3,32.5,78.9,1.0,1.0,0.4,0.1,0.8,1,118.80000000000001,0.2872340425531915
47.5,0.0,61.5,1.4,0.6,0.5,0.2,0.7,0,154.79999999999998,0.4886363636363636
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,174.0,0.3333333333333333
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,174.0,0.3333333333333333
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,0,174.0,0.3333333333333333
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,1157.3,0.5361842105263157
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,1157.3,0.5361842105263157
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,0,1157.3,0.5361842105263157
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,119.0,0.40697674418604657
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,119.0,0.40697674418604657
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,0,119.0,0.40697674418604657
49.4,0.0,60.9,2.4,0.4,0.2,0.1,0.9,0,202.5,0.5421686746987951
38.0,33.0,90.3,3.0,5.7,0.6,0.1,1.9,0,896.0,0.39628482972136225
36.8,25.0,61.5,1.2,0.4,0.3,0.1,0.4,0,114.0,0.2597402597402597
39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,1,135.20000000000002,0.3561643835616439
55.3,0.0,46.4,2.1,0.1,0.2,0.3,0.6,1,96.89999999999999,0.29230769230769227
43.5,40.0,88.9,0.7,0.3,0.2,0.2,0.6,0,115.5,0.532258064516129
23.8,16.7,76.5,0.6,1.3,0.3,0.0,0.5,0,52.800000000000004,0.19298245614035087
33.3,0.0,50.0,1.1,0.1,0.1,0.3,0.1,0,14.7,0.14285714285714285
33.8,28.6,80.0,0.6,0.3,0.1,0.0,0.6,0,72.0,0.4651162790697675
37.5,25.0,69.2,1.1,0.0,0.1,0.4,0.3,0,46.2,0.5365853658536586
46.8,36.7,81.0,5.9,4.2,1.0,0.2,3.4,1,1738.0,0.6395348837209303
49.8,19.0,77.5,5.1,4.6,1.9,0.8,3.2,1,1506.6000000000001,0.5502958579881658
41.9,32.7,78.0,4.1,4.1,1.6,0.5,3.2,0,1104.0,0.4437299035369775
45.5,42.8,83.1,2.8,3.0,1.5,0.5,2.0,1,1192.8999999999999,0.4631901840490797
42.5,27.0,74.6,3.3,4.4,1.8,0.3,3.1,1,1090.2,0.4646464646464647
48.6,0.0,74.9,6.7,1.8,1.5,0.6,2.5,1,975.8000000000001,0.4006734006734007
41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1,1267.5,0.5709459459459459
43.3,0.0,82.6,4.6,5.8,0.9,0.3,2.3,1,705.1999999999999,0.3060498220640569
45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1,1071.6,0.5108695652173912
43.5,22.7,73.5,3.4,7.1,2.0,0.1,3.6,1,844.9,0.4391143911439114
43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,1,924.3,0.44827586206896547
37.6,32.0,80.4,2.9,1.0,0.6,0.2,1.2,0,721.6,0.3295880149812734
41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,1,464.4,0.3426294820717131
42.0,25.0,67.3,5.2,2.1,0.7,0.5,1.9,0,440.0,0.36036036036036034
45.0,40.6,78.9,3.1,1.3,0.6,0.3,1.3,0,704.0,0.5
49.0,0.0,80.3,2.2,3.4,1.1,0.1,1.6,0,454.40000000000003,0.30331753554502366
41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,0,205.20000000000002,0.28078817733990147
50.1,0.0,57.1,4.5,1.0,1.0,0.3,1.2,0,481.0,0.4
47.5,30.0,85.0,2.1,2.6,0.8,0.2,1.0,1,568.0,0.3641025641025641
46.7,20.0,69.2,1.5,3.7,0.8,0.1,1.7,0,217.6,0.35233160621761656
43.7,20.8,78.3,3.2,1.0,0.6,0.1,1.7,0,753.3000000000001,0.48947368421052634
43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,1,920.0,0.6318681318681318
46.4,0.0,59.6,2.3,1.1,0.5,0.4,0.4,1,397.59999999999997,0.3333333333333333
46.7,32.2,74.5,2.0,3.9,1.2,0.0,1.8,1,720.9,0.5297619047619048
42.0,35.9,88.4,1.1,3.7,0.8,0.0,0.8,1,426.40000000000003,0.3113772455089821
44.3,0.0,57.8,2.1,0.9,0.7,0.1,1.4,0,122.39999999999999,0.3469387755102041
48.8,0.0,68.9,3.6,0.3,0.2,0.2,0.7,0,357.5,0.3793103448275862
48.6,0.0,58.0,3.2,0.6,0.4,0.1,0.7,1,280.0,0.34965034965034963
43.1,0.0,69.2,1.9,0.2,0.1,0.1,0.3,1,57.6,0.22857142857142856
44.5,0.0,72.5,2.2,0.8,0.4,0.3,0.9,0,244.79999999999998,0.3582089552238806
54.5,0.0,69.9,2.7,0.2,0.1,0.3,0.9,1,322.5,0.41346153846153844
42.6,0.0,38.4,3.7,1.1,0.4,0.1,0.9,1,259.2,0.47058823529411764
53.7,25.0,61.5,2.1,0.3,0.3,0.5,0.6,1,254.2,0.4141414141414141
30.1,7.1,78.1,1.1,2.6,0.3,0.1,1.1,1,139.4,0.17894736842105263
36.6,29.4,60.9,0.5,2.2,0.5,0.1,1.0,0,116.60000000000001,0.23404255319148937
40.2,16.7,83.3,0.9,2.3,0.5,0.2,1.3,0,136.29999999999998,0.3085106382978723
40.8,38.5,65.4,1.1,0.8,0.6,0.1,1.1,1,147.6,0.4659090909090909
51.3,0.0,65.0,2.4,0.1,0.3,0.8,0.5,1,161.20000000000002,0.3058823529411765
49.0,0.0,67.4,1.3,0.5,0.5,0.2,0.5,0,129.5,0.4216867469879518
49.4,0.0,50.0,2.6,0.4,0.3,0.3,0.5,1,186.0,0.38271604938271603
40.4,25.0,81.3,0.9,1.5,0.5,0.1,0.7,1,112.2,0.275
43.0,10.0,69.0,1.3,0.5,0.3,0.1,0.5,1,168.0,0.5063291139240507
48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,1,125.39999999999999,0.48717948717948717
48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,0,125.39999999999999,0.48717948717948717
36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,1,188.1,0.33
36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,0,188.1,0.33
41.8,24.4,60.0,1.8,0.8,1.0,0.4,1.1,0,127.19999999999999,0.3045977011494253
46.0,40.1,71.2,3.2,0.9,0.7,0.2,0.8,0,462.0,0.2654867256637168
41.5,0.0,73.8,1.3,0.6,0.3,0.0,0.5,0,180.0,0.3424657534246575
36.4,22.2,66.0,0.6,1.4,0.3,0.1,0.9,1,127.4,0.35616438356164387
50.4,40.0,70.6,1.1,0.4,0.3,0.1,0.7,0,151.79999999999998,0.48529411764705876
34.9,11.1,56.3,0.6,1.7,0.5,0.1,0.4,1,68.8,0.23529411764705882
31.9,20.0,77.3,0.7,1.1,0.3,0.1,0.8,0,66.5,0.31666666666666665
47.4,0.0,78.3,1.4,0.2,0.2,0.0,0.5,1,112.2,0.3859649122807018
42.2,0.0,68.2,1.0,0.2,0.2,0.1,0.3,1,98.39999999999999,0.42857142857142855
43.2,25.4,77.4,4.8,10.6,2.5,0.1,3.1,1,1115.2,0.3434343434343434
47.7,30.8,81.9,2.3,7.1,1.5,0.1,3.0,1,841.8000000000001,0.3876404494382023
43.7,29.0,65.6,2.6,3.2,0.6,0.3,1.0,0,417.6,0.3185840707964602
47.5,0.0,67.9,7.9,1.3,1.1,0.5,2.2,1,814.0,0.44984802431610943
43.9,33.3,87.9,3.4,6.4,1.7,0.1,2.5,1,830.8000000000001,0.3911671924290221
40.7,20.0,83.3,4.5,2.3,0.9,0.4,1.8,1,319.2,0.28044280442804426
35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1,364.0,0.42448979591836733
35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1,364.0,0.42448979591836733
50.1,20.0,60.4,6.3,1.0,0.7,1.5,1.7,1,959.4,0.4834710743801653
46.1,20.8,83.9,2.4,5.5,1.3,0.3,1.8,1,736.0,0.38333333333333336
50.1,0.0,62.6,5.5,1.1,0.6,0.7,1.1,1,623.7,0.3407079646017699
48.8,35.5,80.1,2.3,1.6,0.7,0.2,1.2,1,820.0,0.44642857142857145
40.4,26.7,74.0,2.3,1.9,0.9,0.4,1.9,1,585.6,0.4285714285714286
48.2,0.0,51.2,4.0,1.2,0.7,0.5,1.6,1,567.6,0.39631336405529954
42.3,33.8,81.5,3.7,1.6,0.5,0.8,0.8,0,472.0,0.3603603603603604
46.3,17.4,57.6,3.8,2.1,1.1,0.7,1.7,1,624.1,0.3779904306220096
49.1,36.7,77.2,4.0,1.3,0.8,0.8,1.3,1,697.0,0.40865384615384615
39.0,18.8,78.4,1.7,5.1,1.6,0.0,1.3,1,395.0,0.24271844660194172
42.8,0.0,72.5,4.2,1.4,0.7,0.3,1.4,1,631.8,0.39512195121951216
39.1,38.5,72.5,1.1,2.9,1.0,0.1,1.0,0,124.80000000000001,0.29714285714285715
45.9,0.0,87.1,4.5,0.8,0.3,0.1,0.9,1,222.3,0.34545454545454546
43.0,0.0,70.7,2.9,0.9,0.5,0.9,1.6,0,420.0,0.37333333333333335
53.2,0.0,64.0,3.4,0.5,0.4,0.3,0.7,1,284.40000000000003,0.2465753424657535
37.4,24.0,71.9,1.0,3.1,0.3,0.1,1.0,0,156.60000000000002,0.20610687022900767
44.6,0.0,72.2,0.6,1.2,0.4,0.0,1.0,0,259.7,0.4453781512605042
49.6,23.1,80.6,2.0,0.7,0.3,0.6,0.8,1,294.0,0.4077669902912621
42.2,20.0,89.7,0.7,1.5,0.1,0.1,0.6,0,152.0,0.4
47.4,0.0,56.3,2.6,0.4,0.2,0.3,0.6,1,170.5,0.3333333333333333
47.0,0.0,73.5,0.7,1.7,0.6,0.0,0.9,0,147.5,0.2873563218390805
40.4,0.0,81.0,0.6,2.0,0.4,0.0,0.9,0,105.6,0.28915662650602403
46.6,0.0,70.2,1.3,0.5,0.3,0.3,0.6,1,220.5,0.5421686746987951
38.5,0.0,44.4,1.9,0.4,0.2,0.3,0.5,0,48.400000000000006,0.1447368421052632
36.7,0.0,66.7,1.7,0.5,0.1,0.3,0.6,0,77.89999999999999,0.2878787878787879
37.5,28.6,61.5,0.4,0.6,0.2,0.0,0.5,1,46.800000000000004,0.2063492063492064
37.7,37.3,74.4,1.8,2.7,0.5,0.2,0.9,0,279.0,0.31155778894472363
31.0,0.0,60.4,1.0,0.3,0.3,0.1,0.4,0,85.0,0.27419354838709675
45.5,21.3,68.4,4.8,4.8,2.5,1.0,4.2,1,1877.8,0.6122994652406417
46.8,35.5,74.7,8.3,3.6,1.1,0.2,2.6,1,1541.6000000000001,0.5222222222222223
48.5,0.0,74.5,7.9,1.9,0.7,2.1,1.7,1,1168.0,0.4306784660766962
53.8,0.0,69.6,8.1,3.8,0.6,0.8,3.1,1,1256.0,0.4658753709198813
47.5,0.0,61.7,4.7,8.2,1.8,0.6,2.2,1,376.3,0.1906474820143885
49.1,0.0,75.7,5.0,1.1,0.7,0.7,1.1,1,707.2,0.41106719367588934
53.1,0.0,64.9,4.9,1.7,0.6,0.6,2.4,0,1001.7,0.630952380952381
45.4,22.2,64.6,4.7,2.4,1.6,0.4,1.6,1,717.5999999999999,0.4052863436123348
39.6,31.9,77.0,2.0,0.7,0.9,0.1,0.3,0,472.0,0.29797979797979796
45.5,20.0,72.8,4.7,1.3,0.6,0.8,1.1,1,680.0,0.3881278538812785
43.0,25.0,74.1,2.0,2.0,1.2,0.3,1.7,1,677.6,0.4210526315789474
43.7,29.8,80.1,2.1,3.6,0.8,0.0,1.5,1,834.3000000000001,0.49519230769230776
39.7,0.0,58.1,4.9,1.1,0.4,0.7,1.7,1,335.0,0.3418367346938775
45.4,27.9,77.7,2.3,4.5,0.9,0.1,1.9,1,424.0,0.2717948717948718
46.7,33.3,67.6,7.1,0.7,0.8,1.1,1.4,1,562.5,0.40106951871657753
40.8,32.9,83.3,1.7,3.0,0.6,0.1,1.6,1,462.3,0.37912087912087916
56.2,0.0,61.4,3.6,0.7,0.5,1.5,0.9,1,434.59999999999997,0.297752808988764
